t	x1	y1	x2	y2	x3	y3
6.88	-1.99438	1.50747	-1.94431	2.00496	-2.04445	1.00998
6.9	-1.9477	1.56731	-1.94656	2.0673	-1.94885	1.06731
6.92	-1.89145	1.63475	-1.93479	2.13287	-1.84811	1.13664
6.94	-1.8249	1.70873	-1.90774	2.20181	-1.74206	1.21564
6.96	-1.74737	1.78793	-1.86438	2.27405	-1.63036	1.30182
6.98	-1.65824	1.87089	-1.80394	2.34919	-1.51254	1.39259
7	-1.55701	1.95595	-1.72589	2.42656	-1.38812	1.48533
7.02	-1.44334	2.04127	-1.62996	2.50514	-1.25672	1.5774
7.04	-1.31713	2.1249	-1.51612	2.58359	-1.11813	1.6662
7.06	-1.17852	2.20479	-1.38464	2.66033	-0.972409	1.74925
7.08	-1.02799	2.27887	-1.23602	2.73353	-0.819964	1.8242
7.1	-0.866323	2.3451	-1.07108	2.80125	-0.661562	1.88895
7.12	-0.694643	2.40156	-0.890922	2.86142	-0.498363	1.94169
7.14	-0.514409	2.4465	-0.69692	2.912	-0.331897	1.98101
7.16	-0.327379	2.47847	-0.490741	2.95103	-0.164017	2.00591
7.18	-0.135565	2.49632	-0.274308	2.97669	0.00317904	2.01596
7.2	0.0588388	2.49931	-0.0497781	2.98737	0.167456	2.01125
7.22	0.253527	2.48711	0.180492	2.98175	0.326562	1.99247
7.24	0.446178	2.45986	0.413983	2.95883	0.478372	1.9609
7.26	0.634535	2.41813	0.64805	2.91795	0.621021	1.91832
7.28	0.816501	2.36291	0.879973	2.85886	0.753029	1.86695
7.3	0.990204	2.29554	1.10699	2.78171	0.873414	1.80937
7.32	1.15406	2.21769	1.32637	2.68706	0.981753	1.74832
7.34	1.30681	2.13125	1.53541	2.57594	1.07822	1.68657
7.36	1.44756	2.03828	1.73156	2.44979	1.16356	1.62676
7.38	1.57574	1.94089	1.91245	2.31052	1.23903	1.57126
7.4	1.69112	1.84122	2.07595	2.16045	1.30629	1.522
7.42	1.79379	1.74136	2.2203	2.0023	1.36728	1.48041
7.44	1.88407	1.64325	2.34411	1.83912	1.42403	1.44738
7.46	1.96251	1.54873	2.44651	1.67421	1.47851	1.42325
7.48	2.02979	1.45944	2.52712	1.51105	1.53246	1.40784
7.5	2.08669	1.37685	2.58613	1.35312	1.58726	1.40058
7.52	2.13407	1.30221	2.62429	1.20382	1.64385	1.40061
7.54	2.17274	1.23661	2.64284	1.06631	1.70263	1.40692
7.56	2.20348	1.18095	2.64346	0.943415	1.76351	1.4185
7.58	2.22701	1.13596	2.62814	0.837471	1.82589	1.43445
7.6	2.24391	1.10221	2.5991	0.750295	1.88873	1.45412
7.62	2.25462	1.08013	2.55858	0.683125	1.95067	1.47713
7.64	2.25944	1.07001	2.50878	0.636612	2.01011	1.50341
7.66	2.25849	1.07203	2.45165	0.610847	2.06532	1.5332
7.68	2.2517	1.08622	2.38888	0.605405	2.11451	1.56703
7.7	2.23883	1.11249	2.32173	0.619415	2.15593	1.60557
7.72	2.21947	1.15063	2.25105	0.651633	2.18789	1.64964
7.74	2.19303	1.20026	2.17724	0.700512	2.20882	1.70001
7.76	2.15877	1.26084	2.10028	0.764273	2.21726	1.75741
7.78	2.11583	1.33164	2.01977	0.840953	2.21188	1.82233
7.8	2.06325	1.41174	1.93503	0.928454	2.19147	1.89502
