Time 	Torso x	 Torso y 	Head x 	Head y 	Arm x 	Arm y 	Thigh x 	Thigh y 	Tibia x 	Tibia y 	Foot x 	Foot y	Robot x 	Robot y
2.34	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.358	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.376	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.394	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.412	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.43	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.448	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.466	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.484	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.502	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.52	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.538	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.556	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.574	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.592	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.61	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.628	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.646	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
